PMID,Date,PreceedingText,Estimate,Lower,Upper,Ratio,Beta
16968862,2006 Dec 1,"1.4, 8.3) and former smoking (OR = ",3.0,1.3,6.6,True,False
16968862,2006 Dec 1,ivities vs. no such activity: OR = ,5.6,1.9,16.5,True,False
30698634,2019 May 1,m versus <0.30 ppm (hazard ratio = ,1.81,1.11,2.95,True,False
21765004,2011 Sep 15,t)) for fat mass and fat area were ,20.7,17.6,23.9,False,False
21765004,2011 Sep 15,"nce interval (CI): 17.6, 23.9) and ",17.8,14.6,21.0,False,False
21765004,2011 Sep 15,with adiposity decreased (b(st) = -,2.30,12.0,7.37,False,False
21765004,2011 Sep 15," (95% CI: -12.0, 7.37) and b(st) = ",1.96,2.84,6.76,False,False
21765004,2011 Sep 15, effects were negligible (b(st) = -,1.57,11.9,8.75,False,False
21765004,2011 Sep 15," (95% CI: -11.9, 8.75) and b(st) = ",1.89,3.13,6.91,False,False
15781950,2005 Apr 1,the corresponding odds ratios were ,1.0,0.9,1.1,True,False
15781950,2005 Apr 1,"nfidence interval (CI): 0.9, 1.1), ",1.0,0.8,1.1,False,False
15781950,2005 Apr 1,"0.9, 1.1), 1.0 (95% CI: 0.8, 1.1), ",0.9,0.7,1.0,False,False
15781950,2005 Apr 1," 1.1), 0.9 (95% CI: 0.7, 1.0), and ",1.2,0.9,1.6,False,False
23558353,2013 Jun 1,th whites (adjusted hazard ratio = ,1.57,1.27,1.93,True,False
23558353,2013 Jun 1,ite women (adjusted hazard ratio = ,1.93,1.48,2.51,True,False
11159141,2001 Jan 1,age 40-44 years (odds ratio (OR) = ,6.3,3.5,11.6,True,False
11159141,2001 Jan 1,=5 years since last delivery (OR = ,1.9,1.1,3.1,True,False
11159141,2001 Jan 1, smoking of > or =1 pack/day (OR = ,1.6,1.1,2.3,True,False
11159141,2001 Jan 1,ual cycle length of >30 days (OR = ,1.6,1.1,3.3,True,False
11159141,2001 Jan 1,al bleeding for > or =6 days (OR = ,1.4,1.0,2.0,True,False
11159141,2001 Jan 1,pared with nulliparous women (OR = ,0.2,0.1,0.3,True,False
11159141,2001 Jan 1,"ican women (ages 40-44 years, OR = ",27.5,5.6,83.6,True,False
29955810,2018 Nov 1, at Wave 2 (risk difference (RD) = ,6,2,10,False,False
29955810,2018 Nov 1,"icotine replacement therapy, RD = -",3,8,2,False,False
29955810,2018 Nov 1," consumption (cigarettes per day, -",0.18,1.87,1.51,False,False
19762370,2009 Oct 15,omparison group (odds ratio (OR) = ,1.80,1.48,2.19,True,False
19762370,2009 Oct 15,", including major depression (OR = ",6.31,4.19,9.52,True,False
19762370,2009 Oct 15,osttraumatic stress disorder (OR = ,9.77,5.39,18.59,True,False
19762370,2009 Oct 15, unexplained chronic fatigue (OR = ,13.32,7.70,23.05,True,False
19179359,2009 Mar 15, an affluent neighborhood) equaled ,1.3,1.1,1.4,False,False
10707914,2000 Mar 1,ve risk from vigorous exertion was ,6.1,4.2,9.0,False,False
16793862,2006 Sep 1,n PM2.5 at a 2-day lag (odds ratio=,1.09,0.91,1.30,True,False
28459985,2017 Jul 15,r development of JIA (odds ratio = ,2.4,1.6,3.6,True,False
10853641,2000 May 15,ed women (adjusted relative risk = ,0.63,0.57,0.68,True,False
10853641,2000 May 15,"mpared with uninfected women, were ",0.85,0.71,1.03,False,False
10853641,2000 May 15,"n, were 0.85 (95% CI: 0.71, 1.03), ",0.74,0.63,0.86,False,False
10853641,2000 May 15," 1.03), 0.74 (95% CI: 0.63, 0.86), ",0.55,0.47,0.64,False,False
10853641,2000 May 15,"6), 0.55 (95% CI: 0.47, 0.64), and ",0.45,0.38,0.55,False,False
12446255,2002 Dec 1,"ular diseases, hazard ratio (HR) = ",1.01,0.76,1.35,True,False
12446255,2002 Dec 1,"5); for respiratory diseases, HR = ",1.20,0.70,2.07,True,False
12446255,2002 Dec 1," for tobacco-related cancers, HR = ",0.91,0.63,1.31,True,False
12446255,2002 Dec 1," and for all-cause mortality, HR = ",1.02,0.89,1.17,True,False
11159139,2001 Jan 1,ity (vs. Whites: odds ratio (OR) = ,9.4,5.7,15.7,True,False
11159139,2001 Jan 1,che (<11 years vs. >13 years: OR = ,2.4,1.1,5.6,True,False
11159139,2001 Jan 1, quartile vs. lower quartile: OR = ,2.3,1.4,3.8,True,False
11159139,2001 Jan 1,s (current use vs. never use: OR = ,0.2,0.1,0.6,True,False
11159139,2001 Jan 1,ng (> or =19 years vs. never: OR = ,0.6,0.4,1.1,True,False
26797572,2016 Feb 1," in BMI, mean difference in LTL = -",0.4,0.6,0.2,False,False
26797572,2016 Feb 1,mmation (mean difference in LTL = -,0.3,0.6,0.1,False,False
20729350,2010 Oct 15, time-series (relative risk (RR) = ,1.06,1.02,1.10,True,False
20729350,2010 Oct 15,"02, 1.10) and case-crossover (RR = ",1.04,0.99,1.08,True,False
20729350,2010 Oct 15,gnificant in the warm season (RR = ,1.09,1.03,1.15,True,False
20729350,2010 Oct 15,.15) but not the cold season (RR = ,1.01,0.95,1.07,True,False
20142396,2010 Mar 1," vs. quartile 1, odds ratio (OR) = ",1.40,1.04,1.88,True,False
20142396,2010 Mar 1, control for body mass index (OR = ,1.30,0.95,1.75,True,False
20142396,2010 Mar 1,"I: 0.46, 0.82; interleukin 6: OR = ",1.79,1.32,2.42,True,False
19064648,2009 Jan 15,he odds ratio for hip fracture was ,3.13,1.62,6.05,True,False
19064648,2009 Jan 15,fracture with impaired balance was ,3.88,1.40,10.72,False,False
19064648,2009 Jan 15,r twins with impaired balance were ,2.00,1.29,3.11,False,False
19064648,2009 Jan 15,"were 2.00 (95% CI: 1.29, 3.11) and ",2.39,1.49,3.82,False,False
35474368,2022 Aug 22,st adherence to the HEI-2015 (HR = ,0.84,0.75,0.94,True,False
35474368,2022 Aug 22,"4, 95% CI: 0.75, 0.94), aMed (HR = ",0.82,0.73,0.93,True,False
35474368,2022 Aug 22,"% CI: 0.73, 0.93), DASH-Fung (HR = ",0.85,0.77,0.95,True,False
35474368,2022 Aug 22,"0.77, 0.95), and DASH-Mellen (HR = ",0.86,0.77,0.96,True,False
35474368,2022 Aug 22,for the alternative HEI-2010 (HR = ,0.93,0.83,1.04,True,False
12480654,2002 Dec 15,ure on birth weight for males was -,1.27,1.77,0.77,False,False
12480654,2002 Dec 15,0.77) mmHg/kg and for females was -,1.24,1.90,0.58,False,False
11549560,2001 Sep 15,vical cancer had an overall SIR of ,9.1,6.9,10.8,True,False
11549560,2001 Sep 15,) and a post-AIDS relative risk of ,6.5,4.1,9.7,True,False
25925389,2015 May 15,ed with a lower odds ratio for PD (,0.45,0.34,0.62,True,False
25925389,2015 May 15,l (3.1-7 units/week) (odds ratio = ,0.60,0.58,0.84,True,False
25925389,2015 May 15,amily history had an odds ratio of ,2.81,1.91,4.13,True,False
25925389,2015 May 15,"family history, the odds ratio was ",1.60,1.15,2.23,True,False
27927621,2017 Jan 1,est quartile had a hazard ratio of ,0.71,0.66,0.76,True,False
27927621,2017 Jan 1,e the associations (hazard ratio = ,0.91,0.85,0.97,True,False
27756719,2016 Nov 1,rease in systolic blood pressure: -,0.05,0.08,0.01,False,False
27756719,2016 Nov 1,aliber (standard deviation score: -,0.13,0.27,0.01,False,False
10901327,2000 Jul 1,"no exposure, the relative risk was ",1.63,1.14,2.33,True,False
10901327,2000 Jul 1,"): 1.14, 2.33) for diesel exhaust, ",1.60,1.09,2.34,False,False
10901327,2000 Jul 1,"2.34) for combustion products, and ",1.68,1.15,2.46,False,False
10901327,2000 Jul 1,overall attributable proportion of ,9.5,5.5,13.9,False,False
38061757,2023 Dec 7,and Beta variants was estimated at ,97.0,93.6,98.6,False,False
38061757,2023 Dec 7,d at 97.0% (95% CI: 93.6-98.6) and ,85.5,82.4,88.1,False,False
28472254,2017 Jul 1,oth loss (probit coefficients were ,0.469,0.065,0.872,False,False
28472254,2017 Jul 1,"idence interval: 0.065, 0.872) and ",0.103,0.011,0.196,False,False
29506196,2018 Mar 1,arrying an integron (adjusted OR = ,2.0,1.06,3.83,True,False
29506196,2018 Mar 1,ce to sulfisoxazole (adjusted OR = ,1.9,1.01,3.60,True,False
29506196,2018 Mar 1,im/sulfamethoxazole (adjusted OR = ,2.1,1.13,3.95,True,False
17971339,2008 Jan 1,riable-adjusted hazard ratios were ,1.10,0.71,1.71,True,False
17971339,2008 Jan 1,") for <1 alcoholic drink per week, ",0.56,0.33,0.95,False,False
17971339,2008 Jan 1,".95) for 1-13 drinks per week, and ",1.02,0.53,1.97,False,False
20360243,2010 May 1,") increase in PHV, WC increased by ",1.60,0.73,2.46,False,False
20360243,2010 May 1,r higher PWV was associated with a ,1.87,1.08,2.65,False,False
26740025,2016 Feb 1, with the reference population was ,1.28,1.25,1.30,False,False
26740025,2016 Feb 1,ith recurrent (hazard ratio (HR) = ,1.62,1.57,1.67,True,False
26740025,2016 Feb 1,"CI: 1.57, 1.67) or new-onset (HR = ",1.66,1.60,1.72,True,False
26740025,2016 Feb 1,ative estimates for recurrent (HR =,1.98,1.92,2.05,True,False
26740025,2016 Feb 1,"I: 1.92, 2.05) and new-onset (HR = ",2.42,2.31,2.54,True,False
12117707,2002 Jul 15,".7) for HPV positivity in general, ",5.4,1.5,19.5,False,False
12117707,2002 Jul 15,"ction with low-risk HPV genotypes, ",24.0,12.4,46.4,False,False
12117707,2002 Jul 15,") for high-risk HPV genotypes, and ",104.8,29.5,372.7,False,False
28453606,2017 May 15,sease (adjusted odds ratio (aOR) = ,6.54,2.30,18.55,True,False
28453606,2017 May 15,ties of Daily Living (IADL) (aOR = ,2.57,0.97,6.78,True,False
28453606,2017 May 15,"eline age (per SD increment, aOR = ",1.49,1.12,2.00,True,False
28453606,2017 May 15," 2.00), depression symptoms (aOR = ",3.13,1.05,9.36,True,False
28453606,2017 May 15,"tal State Examination score, aOR = ",0.74,0.58,0.94,True,False
18303008,2008 Apr 1,with nonexercisers (hazard ratio = ,0.82,0.76,0.88,True,False
29186303,2018 Jun 1, average 25(OH)D concentration was ,1.00,0.90,1.10,True,False
18599489,2008 Aug 15,ster-exposed infants (odds ratio = ,1.18,0.997,1.41,True,False
24644295,2014 May 1,iated with the largest increase of ,1.32,0.73,1.92,False,False
24644295,2014 May 1,vel (0.02 μg/m(3)) was linked to a ,0.91,0.19,1.64,False,False
11296153,2001 Apr 15,ere estimated for DQB1(*)0302 (r = ,7.2,2.8,18.5,False,False
11296153,2001 Apr 15,"l: 2.8, 18.5) and DQB1(*)0201 (r = ",4.7,1.9,11.6,False,False
18359953,2008 Jun 1,"7, 1.14; non-US-born Latinas: HR = ",1.25,1.21,1.30,True,False
18359953,2008 Jun 1,ter among Japanese Americans (HR = ,0.93,0.90,0.95,True,False
37442811,2024 Jan 8,"ed estimation approach, home loss (",0.19,0.09,0.28,False,False
37442811,2024 Jan 8,igher cognitive disability levels (,0.64,0.24,1.03,False,False
37442811,2024 Jan 8,"I: 0.24, 1.03). Losses of friends (",0.18,0.05,0.32,False,False
37442811,2024 Jan 8,".18, 95% CI: 0.05, 0.32) and pets (",0.13,0.02,0.25,False,False
19933698,2010 Jan 1,"ll, both nondrinkers (odds ratio = ",1.42,1.03,2.01,True,False
19933698,2010 Jan 1,rinkers (>/=60 g/day; odds ratio = ,1.44,1.01,2.07,True,False
12034578,2002 Jun 1,red with never users (odds ratio = ,0.7,0.4,1.0,True,False
12034578,2002 Jun 1,stically significant (odds ratio = ,0.7,0.4,1.1,True,False
12034578,2002 Jun 1, of cataract surgery (odds ratio = ,2.6,1.2,5.7,True,False
18483123,2008 Jun 15,the highest exposure category were ,1.6,1.0,2.6,False,False
18483123,2008 Jun 15,rticipating controls were used and ,1.3,0.8,2.1,False,False
11700245,2001 Nov 15,"CI): 0.57, 1.05; third child: OR = ",0.59,0.41,0.83,True,False
11700245,2001 Nov 15,E of >or=0.5 kilounits/liter: OR = ,2.63,1.62,4.29,True,False
11257069,2001 Mar 15, pesticides (adjusted odds ratio = ,12.3,5.1,30.0,True,False
28982226,2017 Jun 15,on criteria. Exposed children were ,3.79,3.01,4.78,False,False
28982226,2017 Jun 15,0-14 years (ratio of odds ratios = ,2.24,1.43,3.51,True,False
28982226,2017 Jun 15,ndex cases (ratio of odds ratios = ,5.45,3.43,8.64,True,False
36549900,2023 May 5,th methadone (relative risk (RR) = ,0.79,0.60,0.97,True,False
36549900,2023 May 5,reating everyone with XR-NTX (RR = ,0.71,0.47,0.96,True,False
36549900,2023 May 5,reating everyone with BUP-NX (RR = ,0.92,0.73,1.11,True,False
24064741,2013 Dec 1,ncy questionnaire (FFQ) energy was ,1.22,1.15,1.30,False,False
24064741,2013 Dec 1,% increment in FFQ fat density was ,1.05,1.00,1.09,False,False
24064741,2013 Dec 1,"ssociation, with a hazard ratio of ",1.19,1.00,1.41,True,False
15234938,2004 Jul 15,stically significant (odds ratio = ,1.05,1.01,1.10,True,False
22759722,2012 Jul 15,ependent factor (odds ratio (OR) = ,1.69,1.53,1.86,True,False
22759722,2012 Jul 15,re likely to be hospitalized (OR = ,1.26,1.10,1.43,True,False
22759722,2012 Jul 15, more years at less than 50% (OR = ,1.69,1.24,2.30,True,False
21156750,2011 Feb 1, 1.36; among women relative risk = ,1.54,1.17,2.03,True,False
15191932,2004 Jun 15,rcumference by 14.6 cm or more had ,1.7,1.0,2.8,False,False
15191932,2004 Jun 15, more than 4.1 cm in hip girth had ,1.5,1.0,2.3,False,False
32735018,2020 Nov 2,ng unvaccinated (odds ratio (OR) = ,1.41,1.36,1.46,True,False
32735018,2020 Nov 2,were greater for Black women (OR = ,1.58,1.49,1.69,True,False
32735018,2020 Nov 2," 1.49, 1.69), Hispanic women (OR = ",1.15,1.05,1.25,True,False
32735018,2020 Nov 2, subsidized health insurance (OR = ,1.18,1.11,1.24,True,False
32735018,2020 Nov 2, than 5 prenatal-care visits (OR = ,1.85,1.60,2.16,True,False
32735018,2020 Nov 2,x (fourth quartile vs. first: OR = ,1.14,1.07,1.21,True,False
28338891,2017 Sep 15,nce (adjusted hazard ratio (aHR) = ,1.01,0.93,1.09,True,False
28338891,2017 Sep 15,eath from colorectal cancer (aHR = ,0.72,0.65,0.79,True,False
28338891,2017 Sep 15,9) and death from any cause (aHR = ,0.72,0.67,0.76,True,False
28338891,2017 Sep 15,f cancer-specific mortality (aHR = ,0.83,0.74,0.92,True,False
28338891,2017 Sep 15, death from any other cause (aHR = ,0.78,0.61,1.00,True,False
17873099,2008 Jan 1, of cytomegalovirus antibodies was ,1.54,1.18,2.01,False,False
17873099,2008 Jan 1,of herpes simplex virus type 1 was ,1.63,1.25,2.13,False,False
14742284,2004 Feb 1,; adjusted prevalence odds ratio = ,0.42,0.18,0.99,True,False
14742284,2004 Feb 1,; adjusted prevalence odds ratio = ,0.82,0.66,1.01,True,False
16467413,2006 Apr 1," with one fewer copy, odds ratio = ",1.4,1.0,1.8,True,False
16495471,2006 Apr 15,iovascular disease mortality: HR = ,1.22,0.76,1.95,True,False
16554349,2006 May 15, an odds ratio for hypertension of ,0.73,0.55,0.98,True,False
16554349,2006 May 15,vity on hypertension (odds ratio = ,0.97,0.71,1.33,True,False
16554349,2006 May 15,vity was significant (odds ratio = ,0.33,0.26,0.41,True,False
28459936,2017 Jun 15,h never smokers (odds ratio (OR) = ,1.32,1.14,1.53,True,False
28459936,2017 Jun 15,3) but not in former smokers (OR = ,0.92,0.73,1.17,True,False
28459936,2017 Jun 15,"nsity (per 10 cigarettes/day, OR = ",1.09,1.03,1.16,True,False
28459936,2017 Jun 15,"oking duration (per 10 years, OR = ",1.11,1.06,1.16,True,False
28459936,2017 Jun 15,"e smoking (per 10 pack-years, OR = ",1.08,1.04,1.12,True,False
28459936,2017 Jun 15,"smoking initiation (per year, OR = ",0.97,0.96,0.98,True,False
28459936,2017 Jun 15,ive smoking during childhood (OR = ,1.24,1.03,1.48,True,False
28459936,2017 Jun 15,om a spouse during adulthood (OR = ,1.30,1.03,1.63,True,False
30137198,2018 Dec 1,"≥25 vs. <10, fecundability ratio = ",0.87,0.74,1.02,True,False
16236995,2005 Dec 1,spontaneous delivery (odds ratio = ,4.64,0.94,22.96,True,False
16236995,2005 Dec 1,s indicated delivery (odds ratio = ,1.42,0.44,4.61,True,False
34216210,2021 Dec 1,an did nondrinkers (hazard ratio = ,0.81,0.68,0.97,True,False
37139568,2023 Sep 1,pant's work or home address (aOR = ,0.74,0.59,0.93,True,False
37139568,2023 Sep 1," 0.59, 0.93), in ICE-income (aOR = ",0.79,0.61,1.04,True,False
37139568,2023 Sep 1,"04), and in ICE-race/income (aOR = ",0.79,0.63,0.99,True,False
37139568,2023 Sep 1,ile-range increases in nSES (aOR = ,0.76,0.57,1.02,True,False
37139568,2023 Sep 1,", 1.02) and ICE-race/income (aOR = ",0.73,0.54,0.99,True,False
12936903,2003 Sep 1,ith a 5-cm increment in height was ,0.97,0.95,0.98,False,False
16221804,2005 Dec 1,s. lowest quintile: hazard ratio = ,2.10,1.50,2.94,True,False
16221804,2005 Dec 1,2.94) and in women (hazard ratio = ,1.35,1.17,1.56,True,False
16221804,2005 Dec 1,s. lowest quintile: hazard ratio = ,1.46,1.25,1.72,True,False
22350580,2012 Mar 15, follicle-stimulating hormone (β = ,0.20,0.13,0.27,False,True
22350580,2012 Mar 15," 0.13, 0.27) and progesterone (β = ",0.06,0.03,0.09,False,True
20139124,2010 Mar 15, the marginal structural model was ,0.52,0.35,0.76,False,False
20139124,2010 Mar 15,"nt, the analogous hazard ratio was ",0.44,0.32,0.60,True,False
23486307,2013 Apr 15, (adjusted adult body mass index: -,0.32,0.57,0.06,False,False
37191332,2023 Aug 4,WHIIRS scores of 5-8 and 9-20) had ,22,1.04,1.43,False,False
37191332,2023 Aug 4,"nce interval (CI): 1.04, 1.43) and ",18,1.00,1.40,False,False
12727672,2003 May 1,versus low serum IGF-I levels were ,0.98,0.66,1.45,False,False
12727672,2003 May 1,", 1.45) for a symptom score of >7, ",1.14,0.72,1.80,False,False
12727672,2003 May 1,"rinary flow rate of <12 ml/second, ",1.11,0.72,1.72,False,False
12727672,2003 May 1,"r a prostate volume of >30 ml, and ",0.71,0.46,1.09,False,False
12727672,2003 May 1,an enlarged prostate (odds ratio = ,1.72,1.05,2.82,True,False
20160171,2010 Mar 15, associating PTSD with suicide was ,9.8,6.7,15,False,False
20160171,2010 Mar 15,ographic confounders (odds ratio = ,5.3,3.4,8.1,True,False
20133517,2010 Mar 15,"se in birth weight, hazard ratio = ",0.86,0.83,0.89,True,False
20133517,2010 Mar 15,rovascular disease (hazard ratio = ,0.82,0.77,0.87,True,False
20133517,2010 Mar 15,ratio for ischemic heart disease = ,0.93,0.89,0.96,True,False
20133517,2010 Mar 15, and for cerebrovascular disease = ,0.93,0.89,0.96,False,False
12727676,2003 May 1,"e head and neck, rate ratio (RR) = ",9.75,7.50,12.67,True,False
12727676,2003 May 1,"2.67); for upper extremities, RR = ",5.76,4.46,7.45,True,False
12727676,2003 May 1,"); and for lower extremities, RR = ",7.06,6.03,8.25,True,False
12727676,2003 May 1,natural grass under both dry (RR = ,1.83,1.35,2.48,True,False
12727676,2003 May 1," 95% CI: 1.35, 2.48) and wet (RR = ",2.31,1.18,4.52,True,False
12936904,2003 Sep 1, low-risk types (rate ratio (RR) = ,0.47,0.32,0.72,True,False
12936904,2003 Sep 1,intermediate clearance rates (RR = ,0.62,0.47,0.94,True,False
12936904,2003 Sep 1,er clearance in parous women (RR = ,0.64,0.47,0.89,True,False
12936904,2003 Sep 1,users of oral contraceptives (RR = ,1.38,1.07,1.77,True,False
20375196,2010 May 1,f SGA birth (additive odds ratio = ,1.30,1.06,1.59,True,False
20375196,2010 May 1,s associated with an odds ratio of ,1.51,1.07,2.15,True,False
20375196,2010 May 1,otype was protective (odds ratio = ,0.48,0.28,0.82,True,False
20929958,2010 Nov 15,ciated with GDM: The odds ratios = ,4.74,2.14,10.51,True,False
20929958,2010 Nov 15," 2.14, 10.51) for fasting glucose, ",2.19,1.15,4.17,False,False
20929958,2010 Nov 15,.17) for middle insulin levels and ,2.36,1.20,4.63,False,False
20929958,2010 Nov 15,"3) for highest insulin levels, and ",3.07,1.62,5.84,False,False
17573337,2007 Aug 15,with those who did not (odds ratio=,1.59,1.24,2.04,True,False
28453616,2017 Jun 15,D for one definition (odds ratio = ,1.4,1.2,1.6,True,False
28453616,2017 Jun 15,nversely for another (odds ratio = ,0.7,0.6,0.8,True,False
14742288,2004 Feb 1,ative risk of acoustic neuroma was ,0.90,0.51,1.57,False,False
17823383,2007 Nov 15,est fish consumption category were ,0.88,0.78,1.00,False,False
17823383,2007 Nov 15, cancer incidence (14 studies) and ,1.02,0.90,1.16,False,False
17823383,2007 Nov 15,r colorectal cancer incidence were ,0.96,0.92,1.00,False,False
17823383,2007 Nov 15,ption per week (seven studies) and ,0.97,0.92,1.03,False,False
16495472,2006 Apr 15,isease risk: The relative risk was ,1.84,0.99,3.42,True,False
28338863,2017 Apr 1,rate ratio (mortality rate ratio = ,0.64,0.51,0.80,True,False
33324987,2021 Jun 1,on childhood obesity (odds ratio = ,1.29,1.02,1.63,True,False
33324987,2021 Jun 1,onary artery disease (odds ratio = ,1.11,1.03,1.19,True,False
12672677,2003 Apr 1,) offspring almost sevenfold (OR = ,6.5,1.4,30.2,True,False
32661550,2020 Dec 1, the 1.5-earner configuration (β = ,0.21,0.05,0.36,True,True
35051292,2022 Jul 23,"terval (CI): 0.95, 1.23; male FR = ",0.95,0.83,1.10,False,False
35051292,2022 Jul 23,ssociated with fecundability (FR = ,1.07,0.87,1.31,False,False
35051292,2022 Jul 23," for infection after 60 days, FR = ",1.16,0.92,1.47,False,False
24052544,2013 Nov 15,ratio of developing lung cancer of ,1.44,1.25,1.67,True,False
24052544,2013 Nov 15," light smokers, the odds ratio was ",1.96,1.37,2.79,True,False
35355048,2022 Jul 23,overall estimated effectiveness of ,94.5,94.3,94.7,False,False
35355048,2022 Jul 23,"3, 94.7) for documented infection, ",95.8,95.2,96.2,False,False
35355048,2022 Jul 23,": 95.2, 96.2) for hospitalization, ",96.3,95.7,96.9,False,False
35355048,2022 Jul 23,"5.7, 96.9) for severe illness, and ",96.0,94.9,96.9,False,False
35355048,2022 Jul 23, by prior SARS-CoV-2 infection was ,94.8,94.4,95.1,False,False
35355048,2022 Jul 23,"4, 95.1) for documented infection, ",94.1,91.9,95.7,False,False
35355048,2022 Jul 23,".9, 95.7) for hospitalization, and ",96.4,92.5,98.3,False,False
24008907,2013 Nov 15,hest quartile with the lowest were ,1.80,1.01,3.17,False,False
24008907,2013 Nov 15,"1.01, 3.17) for refined grains and ",1.87,1.00,3.53,False,False
34467404,2021 Sep 1,ed symposium talk (relative risk = ,0.60,0.45,0.81,True,False
38517022,2024 Mar 21,"ne, the 2003-2006 birth cohort had ",3.08,2.00,4.76,False,False
38517022,2024 Mar 21," had 3.08 (95% CI: 2.00, 4.76) and ",6.95,2.70,17.88,False,False
23863757,2013 Aug 15,0.05) due to cancer (HRQ4 vs. Q1 = ,1.06,1.02,1.11,True,False
23863757,2013 Aug 15,diovascular disease (HRQ4 vs. Q1 = ,1.06,1.00,1.12,True,False
23863757,2013 Aug 15,respiratory disease (HRQ4 vs. Q1 = ,1.37,1.21,1.55,True,False
23863757,2013 Aug 15,", 1.55), and stroke (HRQ4 vs. Q1 = ",1.16,1.01,1.33,True,False
11427402,2001 Jul 1,"1.53, 6.01), smoking (odds ratio = ",2.20,1.38,3.50,True,False
11427402,2001 Jul 1,t quadriceps femoris (odds ratio = ,1.02,1.00,1.05,True,False
11427402,2001 Jul 1,"5), tight hamstrings (odds ratio = ",1.04,1.01,1.06,True,False
11427402,2001 Jul 1,ring the school year (odds ratio = ,1.33,1.03,1.71,True,False
18367467,2008 Jun 1,d the greatest relative risk (OR = ,1.8,1.2,2.7,True,False
18835863,2008 Nov 15,ysis for all types of leukemia was ,0.86,0.67,1.11,False,False
18835863,2008 Nov 15,atio for all types of leukemia was ,1.04,0.65,1.67,False,False
18162478,2008 Mar 1,e meta-analysis (odds ratio (OR) = ,1.52,1.31,1.77,True,False
18162478,2008 Mar 1,"1, 1.77) and pooled analysis (OR = ",1.49,1.14,1.95,True,False
18162478,2008 Mar 1,"4, 95% CI: 0.65, 1.35; pooled OR = ",0.90,0.69,1.34,True,False
18162478,2008 Mar 1,isk for individuals with low (OR = ,2.05,1.13,3.72,True,False
18162478,2008 Mar 1," CI: 1.13, 3.72) versus high (OR = ",0.95,0.54,1.67,True,False
18304960,2008 Apr 15,ty category versus the highest was ,0.75,0.59,0.95,False,False
18304960,2008 Apr 15,"rval: 0.59, 0.95) for the AHEI and ",0.54,0.42,0.70,False,False
18611954,2008 Sep 1,n-Hodgkin lymphoma was found to be ,1.18,0.99,1.42,False,False
18611954,2008 Sep 1,42) among case-control studies and ,1.79,1.30,2.47,False,False
28486615,2017 Aug 15,d hypertension (prevalence ratio = ,1.45,1.16,1.81,True,False
20093307,2010 Feb 15,n the prior 6 months (odds ratio = ,1.44,1.14,1.82,True,False
23097255,2012 Nov 15,ntake compared with the lowest was ,0.63,0.44,0.90,False,False
